EMI_TENURE,CREDIT_HISTORY,TRANSACTION_CATEGORY,TRANSACTION_AMOUNT,ACCOUNT_TYPE,ACCOUNT_AGE,STATE,IS_URBAN,IS_STATE_BORDER,HAS_CO_APPLICANT,HAS_GUARANTOR,OWN_REAL_ESTATE,OTHER_INSTALMENT_PLAN,OWN_RESIDENCE,NUMBER_CREDITS,RFM_SCORE,OWN_CAR,SHIP_INTERNATIONAL,IS_DEFAULT
12,CRITICAL ACCOUNT,NEW CAR,2171,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,YES,YES,2,2,NO,YES,No
36,CRITICAL ACCOUNT,USED CAR,5800,up to 100 K USD,1 to 4 YRS,CT,NO,YES,NO,NO,NO,NO,YES,2,3,YES,NO,No
18,CRITICAL ACCOUNT,ELECTRONICS,1169,UNKNOWN/NONE,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,YES,NO,No
36,DELAY IN PAST,USED CAR,8947,UNKNOWN/NONE,4 to 7 YRS,CT,NO,YES,NO,NO,NO,YES,YES,1,4,YES,NO,No
21,EXISTING CREDITS PAID BACK,ELECTRONICS,2606,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,NO,1,4,YES,NO,No
12,CRITICAL ACCOUNT,FURNITURE,1592,above 1000 K USD,4 to 7 YRS,CT,NO,NO,NO,NO,NO,NO,YES,1,3,NO,YES,No
15,EXISTING CREDITS PAID BACK,FURNITURE,2186,UNKNOWN/NONE,4 to 7 YRS,PA,NO,NO,NO,NO,YES,YES,NO,1,2,NO,NO,No
18,EXISTING CREDITS PAID BACK,FURNITURE,4153,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,YES,NO,NO,NO,YES,1,3,NO,NO,Yes
16,CRITICAL ACCOUNT,NEW CAR,2625,up to 100 K USD,above 7 YRS,NJ,NO,YES,NO,YES,NO,YES,NO,1,3,YES,NO,Yes
20,CRITICAL ACCOUNT,NEW CAR,3485,UNKNOWN/NONE,up to 1 YR,NJ,YES,NO,NO,NO,YES,NO,YES,2,3,YES,NO,No
36,CRITICAL ACCOUNT,USED CAR,10477,UNKNOWN/NONE,above 7 YRS,NJ,NO,YES,NO,NO,NO,NO,NO,2,3,NO,NO,No
15,EXISTING CREDITS PAID BACK,ELECTRONICS,1386,UNKNOWN/NONE,1 to 4 YRS,NY,NO,NO,NO,NO,YES,NO,NO,1,3,YES,NO,No
24,EXISTING CREDITS PAID BACK,ELECTRONICS,1278,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,1,4,YES,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,1107,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,YES,NO,NO,1,4,YES,NO,No
21,EXISTING CREDITS PAID BACK,NEW CAR,3763,UNKNOWN/NONE,4 to 7 YRS,NJ,NO,YES,YES,NO,YES,NO,YES,1,2,NO,YES,No
36,EXISTING CREDITS PAID BACK,EDUCATION,3711,UNKNOWN/NONE,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO,No
15,DELAY IN PAST,USED CAR,3594,up to 100 K USD,up to 1 YR,PA,NO,NO,NO,NO,NO,NO,YES,2,2,NO,NO,No
9,EXISTING CREDITS PAID BACK,NEW CAR,3195,UNKNOWN/NONE,1 to 4 YRS,PA,NO,NO,NO,NO,YES,NO,YES,1,2,NO,NO,No
36,DELAY IN PAST,ELECTRONICS,4454,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,YES,NO,YES,2,3,NO,NO,No
24,CRITICAL ACCOUNT,FURNITURE,4736,up to 100 K USD,up to 1 YR,NJ,NO,NO,NO,NO,NO,YES,YES,1,2,NO,NO,Yes
30,EXISTING CREDITS PAID BACK,ELECTRONICS,2991,UNKNOWN/NONE,above 7 YRS,NJ,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO,No
11,EXISTING CREDITS PAID BACK,RETRAINING,2142,above 1000 K USD,above 7 YRS,PA,YES,NO,NO,NO,YES,NO,YES,1,3,YES,NO,No
