EMI_TENURE,CREDIT_HISTORY,TRANSACTION_CATEGORY,TRANSACTION_AMOUNT,ACCOUNT_TYPE,ACCOUNT_AGE,STATE,IS_URBAN,IS_STATE_BORDER,HAS_CO_APPLICANT,HAS_GUARANTOR,OWN_REAL_ESTATE,OTHER_INSTALMENT_PLAN,OWN_RESIDENCE,NUMBER_CREDITS,RFM_SCORE,OWN_CAR,SHIP_INTERNATIONAL
12,CRITICAL ACCOUNT,EDUCATION,2096,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,YES,NO,YES,1,2,NO,NO
30,CRITICAL ACCOUNT,NEW CAR,5234,up to 100 K USD,TBD,NY,NO,NO,NO,NO,NO,NO,YES,2,4,NO,NO
10,CRITICAL ACCOUNT,NEW CAR,2241,up to 100 K USD,up to 1 YR,PA,NO,YES,NO,NO,YES,NO,NO,2,2,NO,YES
6,ALL CREDITS PAID BACK,NEW CAR,783,UNKNOWN/NONE,1 to 4 YRS,PA,NO,YES,NO,YES,YES,YES,YES,1,2,NO,NO
12,EXISTING CREDITS PAID BACK,ELECTRONICS,6468,UNKNOWN/NONE,TBD,NJ,NO,YES,NO,NO,NO,NO,YES,1,4,YES,NO
18,EXISTING CREDITS PAID BACK,NEW CAR,1961,up to 100 K USD,above 7 YRS,CT,NO,NO,NO,NO,NO,NO,YES,1,4,NO,NO
7,CRITICAL ACCOUNT,ELECTRONICS,730,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,2,2,YES,NO
18,EXISTING CREDITS PAID BACK,RETRAINING,1568,100 to 500 K USD,1 to 4 YRS,CT,NO,NO,NO,NO,NO,NO,NO,1,2,NO,NO
10,EXISTING CREDITS PAID BACK,ELECTRONICS,2315,up to 100 K USD,above 7 YRS,CT,NO,YES,NO,NO,YES,NO,YES,1,2,NO,NO
20,DELAY IN PAST,USED CAR,7057,UNKNOWN/NONE,4 to 7 YRS,CT,NO,YES,NO,NO,NO,YES,NO,2,4,YES,NO
24,EXISTING CREDITS PAID BACK,FURNITURE,7721,UNKNOWN/NONE,up to 1 YR,PA,NO,NO,NO,NO,NO,NO,YES,1,3,YES,YES
14,EXISTING CREDITS PAID BACK,RETRAINING,1410,500 to 1000 K USD,above 7 YRS,PA,NO,NO,NO,NO,YES,NO,YES,1,3,YES,NO
18,EXISTING CREDITS PAID BACK,NEW CAR,6260,up to 100 K USD,4 to 7 YRS,CT,NO,YES,NO,NO,YES,NO,NO,1,2,NO,NO
12,CRITICAL ACCOUNT,NEW CAR,2366,500 to 1000 K USD,4 to 7 YRS,CT,YES,NO,NO,NO,NO,NO,YES,1,4,YES,NO
24,DELAY IN PAST,RETRAINING,6967,100 to 500 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,4,YES,NO
10,EXISTING CREDITS PAID BACK,NEW CAR,7308,up to 100 K USD,TBD,NJ,NO,YES,NO,NO,NO,YES,NO,1,4,YES,NO
24,EXISTING CREDITS PAID BACK,FURNITURE,3972,up to 100 K USD,4 to 7 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,YES,NO
16,CRITICAL ACCOUNT,NEW CAR,1175,up to 100 K USD,TBD,NJ,NO,YES,NO,NO,NO,NO,NO,3,1,YES,NO
24,EXISTING CREDITS PAID BACK,FURNITURE,3021,up to 100 K USD,1 to 4 YRS,NJ,YES,NO,NO,NO,YES,NO,NO,1,2,NO,NO
12,EXISTING CREDITS PAID BACK,ELECTRONICS,2141,100 to 500 K USD,4 to 7 YRS,CT,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO
4,CRITICAL ACCOUNT,ELECTRONICS,1544,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,YES,NO,YES,3,2,NO,NO
9,EXISTING CREDITS PAID BACK,FURNITURE,2030,UNKNOWN/NONE,4 to 7 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO
24,EXISTING CREDITS PAID BACK,ELECTRONICS,1603,up to 100 K USD,above 7 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO
36,CRITICAL ACCOUNT,RETRAINING,6304,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,2,3,NO,NO
24,EXISTING CREDITS PAID BACK,ELECTRONICS,999,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO
48,EXISTING CREDITS PAID BACK,ELECTRONICS,3060,up to 100 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,2,3,NO,NO
47,EXISTING CREDITS PAID BACK,NEW CAR,10722,up to 100 K USD,up to 1 YR,PA,NO,NO,NO,NO,YES,NO,YES,1,2,YES,NO
42,CRITICAL ACCOUNT,USED CAR,4796,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,3,NO,NO
48,CRITICAL ACCOUNT,NEW CAR,10127,500 to 1000 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,YES,NO,1,3,NO,NO
4,EXISTING CREDITS PAID BACK,NEW CAR,1494,UNKNOWN/NONE,up to 1 YR,PA,NO,YES,NO,NO,YES,NO,YES,1,2,NO,YES
15,DELAY IN PAST,FURNITURE,3643,up to 100 K USD,above 7 YRS,PA,NO,NO,NO,NO,NO,NO,YES,2,2,NO,NO
18,CRITICAL ACCOUNT,NEW CAR,1028,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,YES,NO,YES,2,3,NO,NO
12,CRITICAL ACCOUNT,FURNITURE,5801,UNKNOWN/NONE,above 7 YRS,NJ,NO,YES,NO,NO,NO,NO,NO,1,3,YES,NO
